identificador,codigo,vereda_codigo,numero_subterraneos,codigo_anterior,tipo_predio,derecho,tipo_documento,matricula,acto_registral,ente_emisor,numero_fuente,propietario,tipo_de_documento_de_identificacion,numero_documento,estado_folio,telefono,grupo_etnico,estado_civil,fecha
15,683070000000000170061000000000,68307000000000017,0,68307000000170061000,RURAL,DOMINIO,ESCRITURA,300-15315,COMPRAVENTA DERECHOS Y ACCIONES  38.4 % ( FALSA TRADICION ),NOTARIA 1 DE GIRON,2611,Rosario Tejero-Barroso,CC,957308267,ABIERTO,3137029328,NINGUNO,SOLTERO,28/02/1963
16,683070000000000170249000000000,68307000000000017,0,68307000000170249000,RURAL,DOMINIO,ESCRITURA,300-15316,COMPRAVENTA DERECHOS Y ACCIONES ESTE Y OTROS ,NOTARIA 1 DE GIRON,4529,Pío del Rivera,CC,319308593,ABIERTO,3154267304,NINGUNO,SOLTERO,22/05/2020
17,683070000000000170258000000000,68307000000000017,0,68307000000170258000,RURAL,DOMINIO,ESCRITURA,300-15317,COMPRAVENTA,NOTARIA 1 DE GIRON,305,Coral Diana Valbuena Pedraza,CC,672050945,ABIERTO,3166557508,NINGUNO,SOLTERO,07/06/1991
18,683070000000000170238000000000,68307000000000017,0,68307000000170238000,RURAL,DOMINIO,ESCRITURA,300-15318,COMPRAVENTA DERECHOS Y ACCIONES,NOTARIA 1 DE GIRON,3957,Nicodemo Ballester,CC,706442436,ABIERTO,3120836935,NINGUNO,SOLTERO,09/06/2963
19,683070000000000170248000000000,68307000000000017,0,68307000000170248000,RURAL,DOMINIO,ESCRITURA,300-15319,COMPRAVENTA DERECHOS Y ACCIONES ( FALSA TRADICION ),NOTARIA 1 DE GIRON,2434,Lorena Blázquez Calvet,CC,941531546,ABIERTO,3116606707,NINGUNO,SOLTERO,15/07/1996
20,683070000000000170227000000000,68307000000000017,0,68307000000170227000,RURAL,DOMINIO,ESCRITURA,300-15320,COMPRAVENTA DERECHOS Y ACCIONES,NOTARIA 1 DE GIRON,6327,Tere Mayo Bayón,CC,187528205,ABIERTO,3132848619,NINGUNO,SOLTERO,03/07/2010
21,683070000000000170257000000000,68307000000000017,0,68307000000170257000,RURAL,DOMINIO,ESCRITURA,300-15321,COMPRAVENTA DERECHOS Y ACCIONES,NOTARIA 1 DE GIRON,1161,Inocencio Paniagua,CC,152434118,ABIERTO,3133611281,NINGUNO,SOLTERO,03/10/1997
22,683070000000000170237000000000,68307000000000017,0,68307000000170237000,RURAL,DOMINIO,ESCRITURA,300-15322,COMPRAVENTA,NOTARIA 1 DE GIRON,7191,Eutimio Iborra Alemán,CC,112536018,ABIERTO,3139788710,NINGUNO,SOLTERO,13/12/1964
23,683070000000000170247000000000,68307000000000017,0,68307000000170247000,RURAL,DOMINIO,ESCRITURA,300-15323,COMPRAVENTA,NOTARIA 1 DE GIRON,2199,Rosario Palacio-Jaén,CC,763494830,ABIERTO,3112359905,NINGUNO,SOLTERO,28/02/1973
24,683070000000000170226000000000,68307000000000017,0,68307000000170226000,RURAL,DOMINIO,ESCRITURA,300-15324,COMPRAVENTA,NOTARIA 1 DE GIRON,2053,Amando Amo Salazar,CC,880613999,ABIERTO,3148148521,NINGUNO,SOLTERO,17/03/1986
25,683070000000000170063000000000,68307000000000017,0,68307000000170063000,RURAL,DOMINIO,ESCRITURA,300-15325,COMPRAVENTA,NOTARIA 1 DE GIRON,4449,Lupe Rocío Abella Viñas,CC,886235042,ABIERTO,3155031848,NINGUNO,SOLTERO,03/02/1975
26,683070000000000170256000000000,68307000000000017,0,68307000000170256000,RURAL,DOMINIO,ESCRITURA,300-15326,COMPRAVENTA,NOTARIA 1 DE GIRON,7149,Jonatan Torrijos Beltrán,CC,776497408,ABIERTO,3137486359,NINGUNO,SOLTERO,11/05/1980
27,683070000000000170236000000000,68307000000000017,0,68307000000170236000,RURAL,DOMINIO,ESCRITURA,300-15327,COMPRAVENTA,NOTARIA 1 DE GIRON,3547,Asdrubal del Acosta,CC,705228499,ABIERTO,3110002073,NINGUNO,SOLTERO,10/08/1970
28,683070000000000170246000000000,68307000000000017,0,68307000000170246000,RURAL,DOMINIO,ESCRITURA,300-15328,COMPRAVENTA,NOTARIA 1 DE GIRON,2702,Lorenzo Solano Cuenca,CC,337919858,ABIERTO,3133775757,NINGUNO,SOLTERO,06/07/1991
29,683070000000000170225000000000,68307000000000017,0,68307000000170225000,RURAL,DOMINIO,ESCRITURA,300-15329,COMPRAVENTA,NOTARIA 1 DE GIRON,4030,Felipe Cortina Lobo,CC,546354911,ABIERTO,3128812391,NINGUNO,SOLTERO,05/10/2020
30,683070000000000170255000000000,68307000000000017,0,68307000000170255000,RURAL,DOMINIO,ESCRITURA,300-15330,COMPRAVENTA,NOTARIA 1 DE GIRON,188,Bonifacio Cal-Sebastián,CC,885691358,ABIERTO,3164998156,NINGUNO,SOLTERO,05/01/2002
31,683070000000000170235000000000,68307000000000017,0,68307000000170235000,RURAL,DOMINIO,ESCRITURA,300-15331,COMPRAVENTA,NOTARIA 1 DE GIRON,6094,Tania Rivero Ribes,CC,366442280,ABIERTO,3144313546,NINGUNO,SOLTERO,03/01/1968
32,683070000000000170049000000000,68307000000000017,0,68307000000170049000,RURAL,DOMINIO,ESCRITURA,300-15332,COMPRAVENTA,NOTARIA 1 DE GIRON,216,Demetrio Heredia Gras,CC,444430909,ABIERTO,3102459308,NINGUNO,SOLTERO,27/05/1984
33,683070000000000170224000000000,68307000000000017,0,68307000000170224000,RURAL,DOMINIO,ESCRITURA,300-15333,COMPRAVENTA,NOTARIA 1 DE GIRON,3589,Hilda Roura Juliá,CC,507914790,ABIERTO,3114366743,NINGUNO,SOLTERO,08/07/1954
34,683070000000000170245000000000,68307000000000017,0,68307000000170245000,RURAL,DOMINIO,ESCRITURA,300-15334,COMPRAVENTA,NOTARIA 2 DE GIRON,2046,Pastora Leon Marqués,CC,274250577,ABIERTO,3159718072,NINGUNO,SOLTERO,09/12/2000
35,683070000000000170254000000000,68307000000000017,0,68307000000170254000,RURAL,DOMINIO,ESCRITURA,300-15335,COMPRAVENTA,NOTARIA 2 DE GIRON,2312,Andrés Salmerón Baquero,CC,244093380,ABIERTO,3133714152,NINGUNO,SOLTERO,08/02/1980
36,683070000000000170215000000000,68307000000000017,0,68307000000170215000,RURAL,DOMINIO,ESCRITURA,300-15336,COMPRAVENTA,NOTARIA 2 DE GIRON,4252,Albina Castañeda Hurtado,CC,406848921,ABIERTO,3168797389,NINGUNO,SOLTERO,11/09/1969
37,683070000000000170234000000000,68307000000000017,0,68307000000170234000,RURAL,DOMINIO,ESCRITURA,300-15337,COMPRAVENTA,NOTARIA 2 DE GIRON,1261,Griselda del Mercader,CC,832645687,ABIERTO,3137099680,NINGUNO,SOLTERO,21/09/1998
38,683070000000000170244000000000,68307000000000017,0,68307000000170244000,RURAL,DOMINIO,ESCRITURA,300-15338,COMPRAVENTA,NOTARIA 2 DE GIRON,5515,Eva María Hoyos Zamorano,CC,992980814,ABIERTO,3171038666,NINGUNO,SOLTERO,27/04/1959
39,683070000000000170223000000000,68307000000000017,0,68307000000170223000,RURAL,DOMINIO,ESCRITURA,300-15339,COMPRAVENTA,NOTARIA 2 DE GIRON,5391,Ana Sofía Mata-Atienza,CC,66698752,ABIERTO,3175327712,NINGUNO,SOLTERO,21/08/1997
40,683070000000000170253000000000,68307000000000017,0,68307000000170253000,RURAL,DOMINIO,ESCRITURA,300-15340,COMPRAVENTA,NOTARIA 2 DE GIRON,5009,Nicolás Higueras Barragán,CC,100571271,ABIERTO,3117127757,NINGUNO,SOLTERO,28/07/1995
41,683070000000000170233000000000,68307000000000017,0,68307000000170233000,RURAL,DOMINIO,ESCRITURA,300-15341,COMPRAVENTA,NOTARIA 2 DE GIRON,5070,Miriam Gonzalo Villanueva,CC,793357538,ABIERTO,3179139510,NINGUNO,SOLTERO,08/10/2002
42,683070000000000170214000000000,68307000000000017,0,68307000000170214000,RURAL,DOMINIO,ESCRITURA,300-15342,COMPRAVENTA,NOTARIA 2 DE GIRON,734,Adelia de Soto,CC,795381888,ABIERTO,3111306233,NINGUNO,SOLTERO,11/04/1994
43,683070000000000170243000000000,68307000000000017,0,68307000000170243000,RURAL,DOMINIO,ESCRITURA,300-15343,COMPRAVENTA,NOTARIA 2 DE GIRON,5691,Gerardo Mascaró Bejarano,CC,735251318,ABIERTO,3116005957,NINGUNO,SOLTERO,28/05/1989
44,683070000000000170222000000000,68307000000000017,0,68307000000170222000,RURAL,DOMINIO,ESCRITURA,300-15344,COMPRAVENTA,NOTARIA 2 DE GIRON,6637,Hilario Tovar Cadenas,CC,692055586,ABIERTO,3129734607,NINGUNO,SOLTERO,01/03/2004
45,683070000000000170300000000000,68307000000000017,0,68307000000170300000,RURAL,DOMINIO,ESCRITURA,300-15345,COMPRAVENTA,NOTARIA 2 DE GIRON,1688,Fanny Avilés Cabañas,CC,970249656,ABIERTO,3163759701,NINGUNO,SOLTERO,18/04/1958
46,683070000000000170052000000000,68307000000000017,0,68307000000170052000,RURAL,DOMINIO,ESCRITURA,300-15346,COMPRAVENTA,NOTARIA 2 DE GIRON,7782,Felisa Luz Mayo Márquez,CC,63602764,ABIERTO,3114775672,NINGUNO,SOLTERO,01/12/1964
47,683070000000000170232000000000,68307000000000017,0,68307000000170232000,RURAL,DOMINIO,ESCRITURA,300-15347,COMPRAVENTA,NOTARIA 2 DE GIRON,5004,Jorge Sandoval Ricart,CC,890263848,ABIERTO,3146347628,NINGUNO,SOLTERO,14/06/2020
48,683070000000000170213000000000,68307000000000017,0,68307000000170213000  ,RURAL,DOMINIO,ESCRITURA,300-15348,COMPRAVENTA,NOTARIA 2 DE GIRON,1875,Francisco Javier Bello-Campoy,CC,919310387,ABIERTO,3140572754,NINGUNO,SOLTERO,14/11/1978
49,683070000000000170242000000000,68307000000000017,0,68307000000170242000,RURAL,DOMINIO,ESCRITURA,300-15349,COMPRAVENTA,NOTARIA 2 DE GIRON,4474,Malena Codina Ribera,CC,651204787,ABIERTO,3153868864,NINGUNO,SOLTERO,19/06/1992
50,683070000000000170221000000000,68307000000000017,0,68307000000170221000,RURAL,DOMINIO,ESCRITURA,300-15350,COMPRAVENTA,NOTARIA 2 DE GIRON,6362,Lázaro Cuesta Prado,CC,164837390,ABIERTO,3151027030,NINGUNO,SOLTERO,25/10/1965
51,683070000000000170208000000000,68307000000000017,0,68307000000170208000,RURAL,DOMINIO,ESCRITURA,300-15351,COMPRAVENTA,NOTARIA 2 DE GIRON,1733,Ceferino Gallo Bermúdez,CC,859471956,ABIERTO,3163268062,NINGUNO,SOLTERO,28/10/1977
52,683070000000000170231000000000,68307000000000017,0,68307000000170231000,RURAL,DOMINIO,ESCRITURA,300-15352,COMPRAVENTA,NOTARIA 2 DE GIRON,884,Guiomar Ramírez Grau,CC,31271761,ABIERTO,3157998970,NINGUNO,SOLTERO,22/05/1996
53,683070000000000170212000000000,68307000000000017,0,68307000000170212000,RURAL,DOMINIO,ESCRITURA,300-15353,COMPRAVENTA,NOTARIA 2 DE GIRON,7116,Chelo Piña Diéguez,CC,514554871,ABIERTO,3150773927,NINGUNO,SOLTERO,08/04/1979
54,683070000000000170241000000000,68307000000000017,0,68307000000170241000,RURAL,DOMINIO,ESCRITURA,300-15354,COMPRAVENTA,NOTARIA 2 DE GIRON,2155,Micaela Prieto Ferrán,CC,944694810,ABIERTO,3183580895,NINGUNO,SOLTERO,28/08/1958
55,683070000000000170220000000000,68307000000000017,0,68307000000170220000,RURAL,DOMINIO,ESCRITURA,300-15355,COMPRAVENTA,NOTARIA 2 DE GIRON,1989,Paz Oller Gabaldón,CC,429038513,ABIERTO,3182030530,NINGUNO,SOLTERO,15/10/1970
56,683070000000000170207000000000,68307000000000017,0,68307000000170207000,RURAL,DOMINIO,ESCRITURA,300-15356,COMPRAVENTA,NOTARIA 2 DE GIRON,4909,Lorenzo Lillo Pomares,CC,245802503,ABIERTO,3169636189,NINGUNO,SOLTERO,08/11/1965
57,683070000000000170230000000000,68307000000000017,0,68307000000170230000,RURAL,DOMINIO,OFICIO,300-15357,COMPRAVENTA,JUZGADO DE GIRON,5926,Dan Chema Aguilera Pera,CC,149546053,ABIERTO,3177448197,NINGUNO,SOLTERO,02/06/2014
58,683070000000000170211000000000,68307000000000017,0,68307000000170211000,RURAL,DOMINIO,OFICIO,300-15358,COMPRAVENTA,JUZGADO DE GIRON,4264,Jordi Vall Infante,CC,502181937,ABIERTO,3174759477,NINGUNO,SOLTERO,06/05/1951
59,683070000000000170072000000000,68307000000000017,0,68307000000170072000,RURAL,DOMINIO,ESCRITURA,300-15359,COMPRAVENTA,NOTARIA 2 DE GIRON,6122,Mar Báez,CC,493787625,ABIERTO,3106901087,NINGUNO,SOLTERO,07/03/1953
60,683070000000000170206000000000,68307000000000017,0,68307000000170206000,RURAL,DOMINIO,ESCRITURA,300-15360,COMPRAVENTA,NOTARIA 2 DE GIRON,2456,Félix Galvez,CC,403663037,ABIERTO,3173423258,NINGUNO,SOLTERO,22/08/1952
61,683070000000000170219000000000,68307000000000017,0,68307000000170219000,RURAL,DOMINIO,ESCRITURA,300-15361,COMPRAVENTA,NOTARIA 2 DE GIRON,275,Juan Francisco Iglesias Fuentes,CC,578550872,ABIERTO,3154568575,NINGUNO,SOLTERO,04/07/2007
62,683070000000000170229000000000,68307000000000017,0,68307000000170229000,RURAL,DOMINIO,OFICIO,300-15362,COMPRAVENTA,JUZGADO DE GIRON,2907,Adelardo Castilla Fiol,CC,441941580,ABIERTO,3121965630,NINGUNO,SOLTERO,24/07/2025
63,683070000000000170210000000000,68307000000000017,0,68307000000170210000,RURAL,DOMINIO,OFICIO,300-15363,COMPRAVENTA,JUZGADO DE GIRON,2612,Mohamed Taboada Juliá,CC,386519513,ABIERTO,3116662616,NINGUNO,SOLTERO,16/03/1999
64,683070000000000170218000000000,68307000000000017,0,68307000000170218000,RURAL,DOMINIO,ESCRITURA,300-15364,COMPRAVENTA,NOTARIA 2 DE GIRON,7483,Isaías Benavent,CC,121407951,ABIERTO,3108696501,NINGUNO,SOLTERO,09/04/2006
65,683070000000000170228000000000,68307000000000017,0,68307000000170228000,RURAL,DOMINIO,ESCRITURA,300-15365,COMPRAVENTA,NOTARIA 2 DE GIRON,966,Marianela Jennifer Alberola Sancho,CC,536216404,ABIERTO,3111619214,NINGUNO,SOLTERO,18/09/1966
66,683070000000000170048000000000,68307000000000017,0,68307000000170048000,RURAL,DOMINIO,ESCRITURA,300-15366,COMPRAVENTA,NOTARIA 2 DE GIRON,2946,Xiomara Quiroga,CC,84521147,ABIERTO,3176455958,NINGUNO,SOLTERO,20/07/1969
67,683070000000000170205000000000,68307000000000017,0,68307000000170205000,RURAL,DOMINIO,ESCRITURA,300-15367,COMPRAVENTA,NOTARIA 2 DE GIRON,7734,Flavia Azahara Cervera Andrés,CC,886325418,ABIERTO,3190534183,NINGUNO,SOLTERO,04/04/1958
68,683070000000000170209000000000,68307000000000017,0,68307000000170209000,RURAL,DOMINIO,SENTENCIA,300-15368,COMPRAVENTA,JUZGADO DE GIRON,4734,Esmeralda de Grau,CC,434199348,ABIERTO,3142707756,NINGUNO,SOLTERO,14/11/1999
69,683070000000000170200000000000,68307000000000017,0,68307000000170200000,RURAL,DOMINIO,SENTENCIA,300-15369,COMPRAVENTA,JUZGADO DE GIRON,2101,Maristela Lumbreras Mínguez,CC,917948868,ABIERTO,3128989518,NINGUNO,SOLTERO,17/08/2003
70,683070000000000170217000000000,68307000000000017,0,68307000000170217000,RURAL,DOMINIO,DILIGENCIA,300-15370,COMPRAVENTA,JUZGADO DE PIEDECUESTA,7080,Bernardino Palma Ródenas,CC,774022857,ABIERTO,3175024564,NINGUNO,SOLTERO,20/05/1961
71,683070000000000170204000000000,68307000000000017,0,68307000000170204000,RURAL,DOMINIO,DILIGENCIA,300-15371,COMPRAVENTA,JUZGADO DE GIRON,3321,Pacífica del Naranjo,CC,758590182,ABIERTO,3159567550,NINGUNO,SOLTERO,01/07/1993
72,683070000000000170199000000000,68307000000000017,0,68307000000170199000,RURAL,DOMINIO,DILIGENCIA,300-15372,COMPRAVENTA,JUZGADO DE GIRON,6565,Goyo Menéndez Pizarro,CC,541079278,ABIERTO,3104423699,NINGUNO,SOLTERO,23/12/1952
73,683070000000000170216000000000,68307000000000017,0,68307000000170216000,RURAL,DOMINIO,ESCRITURA,300-15373,COMPRAVENTA,NOTARIA 2 DE GIRON,5736,Aarón Pepito Nieto Muro,CC,484052076,ABIERTO,3184579388,NINGUNO,SOLTERO,20/12/1967
74,683070000000000170203000000000,68307000000000017,0,68307000000170203000,RURAL,DOMINIO,ESCRITURA,300-15374,COMPRAVENTA,NOTARIA 2 DE GIRON,6380,Flavio Vargas,CC,386987405,ABIERTO,3128192275,NINGUNO,SOLTERO,21/08/1978
75,683070000000000170198000000000,68307000000000017,0,68307000000170198000,RURAL,DOMINIO,ESCRITURA,300-15375,COMPRAVENTA,NOTARIA 2 DE GIRON,7396,Noa Lerma,CC,429221716,ABIERTO,3183119615,NINGUNO,SOLTERO,02/06/2014
76,683070000000000170175000000000,68307000000000017,0,68307000000170175000,RURAL,DOMINIO,ESCRITURA,300-15376,COMPRAVENTA,NOTARIA 2 DE GIRON,4867,Adela Fajardo,CC,278279759,ABIERTO,3123420114,NINGUNO,SOLTERO,17/12/1984
77,683070000000000170051000000000,68307000000000017,0,68307000000170051000,RURAL,DOMINIO,ESCRITURA,300-15377,COMPRAVENTA,NOTARIA 2 DE GIRON,2083,Marcia Goicoechea-Viña,CC,65510596,ABIERTO,3142786385,NINGUNO,SOLTERO,17/01/2011
78,683070000000000170202000000000,68307000000000017,0,68307000000170202000,RURAL,DOMINIO,ESCRITURA,300-15378,COMPRAVENTA,NOTARIA 2 DE GIRON,3751,Jose Luis Vega Granados,CC,92986890,ABIERTO,3163471349,NINGUNO,SOLTERO,06/02/1991
79,683070000000000170193000000000,68307000000000017,0,68307000000170193000,RURAL,DOMINIO,ESCRITURA,300-15379,COMPRAVENTA,NOTARIA 2 DE GIRON,673,Felicidad Carlos Landa,CC,777353719,ABIERTO,3107579914,NINGUNO,SOLTERO,03/06/2015
80,683070000000000170098000000000,68307000000000017,0,68307000000170098000,RURAL,DOMINIO,ESCRITURA,300-15380,COMPRAVENTA,NOTARIA 2 DE GIRON,4160,María Luisa Montoya Múñiz,CC,634134157,ABIERTO,3189200213,NINGUNO,SOLTERO,14/02/1967
81,683070000000000170197000000000,68307000000000017,0,68307000000170197000,RURAL,DOMINIO,ESCRITURA,300-15381,COMPRAVENTA,NOTARIA 2 DE GIRON,1770,Candelas Núñez,CC,307632657,ABIERTO,3161834964,NINGUNO,SOLTERO,27/06/1951
82,683070000000000170174000000000,68307000000000017,0,68307000000170174000,RURAL,DOMINIO,ESCRITURA,300-15382,COMPRAVENTA,NOTARIA 2 DE GIRON,210,Jose Ignacio de Agustín,CC,510787888,ABIERTO,3142860634,NINGUNO,SOLTERO,27/02/2011
83,683070000000000170128000000000,68307000000000017,0,68307000000170128000,RURAL,DOMINIO,ESCRITURA,300-15383,COMPRAVENTA,NOTARIA 2 DE GIRON,3487,Viviana de Macias,CC,344201523,ABIERTO,3177776506,NINGUNO,SOLTERO,11/10/1977
84,683070000000000170201000000000,68307000000000017,0,68307000000170201000,RURAL,DOMINIO,ESCRITURA,300-15384,COMPRAVENTA,NOTARIA 2 DE GIRON,3895,Cecilia Cañas Barberá,CC,276545263,ABIERTO,3105872991,NINGUNO,SOLTERO,04/02/1969
85,683070000000000170196000000000,68307000000000017,0,68307000000170196000,RURAL,DOMINIO,ESCRITURA,300-15385,COMPRAVENTA,NOTARIA 2 DE GIRON,1500,Bibiana Gomis-Jódar,CC,589210180,ABIERTO,3155440065,NINGUNO,SOLTERO,21/09/1955
86,683070000000000170097000000000,68307000000000017,0,68307000000170097000,RURAL,DOMINIO,ESCRITURA,300-15386,COMPRAVENTA,NOTARIA 2 DE GIRON,2098,Félix Pol Bello,CC,462358146,ABIERTO,3124773064,NINGUNO,SOLTERO,28/11/1974
87,683070000000000170071000000000,68307000000000017,0,68307000000170071000,RURAL,DOMINIO,ESCRITURA,300-15387,COMPRAVENTA,NOTARIA 2 DE GIRON,1766,Venceslás Rivas Novoa,CC,469644217,ABIERTO,3187744669,NINGUNO,SOLTERO,02/06/1963
88,683070000000000170173000000000,68307000000000017,0,68307000000170173000,RURAL,DOMINIO,ESCRITURA,300-15388,COMPRAVENTA,NOTARIA 2 DE GIRON,1762,Bonifacio Cuevas,CC,375278692,ABIERTO,3109807246,NINGUNO,SOLTERO,02/05/1982
89,683070000000000170127000000000,68307000000000017,0,68307000000170127000,RURAL,DOMINIO,ESCRITURA,300-15389,COMPRAVENTA,NOTARIA 2 DE GIRON,911,Ignacio Rodrigo-Ruiz,CC,504234765,ABIERTO,3122588714,NINGUNO,SOLTERO,11/10/1995
90,683070000000000170195000000000,68307000000000017,0,68307000000170195000,RURAL,DOMINIO,ESCRITURA,300-15390,COMPRAVENTA,NOTARIA 2 DE GIRON,5796,María Belén Bolaños-Torrecilla,CC,516800295,ABIERTO,3153920337,NINGUNO,SOLTERO,05/03/1957
91,683070000000000170194000000000,68307000000000017,0,68307000000170194000,RURAL,DOMINIO,ESCRITURA,300-15391,COMPRAVENTA,NOTARIA 2 DE GIRON,6613,Isa Maristela Solé Noriega,CC,371262225,ABIERTO,3174537476,NINGUNO,SOLTERO,27/03/1970
92,683070000000000170172000000000,68307000000000017,0,68307000000170172000,RURAL,DOMINIO,ESCRITURA,300-15392,COMPRAVENTA,NOTARIA 2 DE GIRON,7026,Noé Torrijos Yáñez,CC,502999519,ABIERTO,3150687236,NINGUNO,SOLTERO,13/08/1953
93,683070000000000170099000000000,68307000000000017,0,68307000000170099000,RURAL,DOMINIO,ESCRITURA,300-15393,COMPRAVENTA,NOTARIA 2 DE GIRON,2588,Reyna Lasa Lobo,CC,300504559,ABIERTO,3165529241,NINGUNO,SOLTERO,19/02/1990
94,683070000000000170046000000000,68307000000000017,0,68307000000170046000,RURAL,DOMINIO,ESCRITURA,300-15394,COMPRAVENTA,NOTARIA 2 DE GIRON,7733,Rafaela Tur Peral,CC,985771263,ABIERTO,3125590931,NINGUNO,SOLTERO,10/02/1987
95,683070000000000170262000000000,68307000000000017,0,68307000000170262000,RURAL,DOMINIO,ESCRITURA,300-15395,COMPRAVENTA,NOTARIA 2 DE GIRON,2654,Darío Briones Olivera,CC,432656383,ABIERTO,3146530719,NINGUNO,SOLTERO,01/08/1990
96,683070000000000170267000000000,68307000000000017,0,68307000000170267000,RURAL,DOMINIO,ESCRITURA,300-15396,COMPRAVENTA,NOTARIA 2 DE GIRON,2573,Prudencio de Grau,CC,263133420,ABIERTO,3175511237,NINGUNO,SOLTERO,01/07/1983
97,683070000000000170171000000000,68307000000000017,0,68307000000170171000,RURAL,DOMINIO,ESCRITURA,300-15397,COMPRAVENTA,NOTARIA 2 DE GIRON,718,Augusto Alarcón,CC,830661513,ABIERTO,3174733385,NINGUNO,SOLTERO,20/12/1980
98,683070000000000170266000000000,68307000000000017,0,68307000000170266000,RURAL,DOMINIO,ESCRITURA,300-15398,COMPRAVENTA,NOTARIA 2 DE GIRON,909,Teobaldo de Álvaro,CC,14310932,ABIERTO,3128615747,NINGUNO,SOLTERO,23/02/2011
